dataset;entry_title*;survey;start_time;split;project;platform;platformtype;possible_single_tracks;pulsetype;datacenter*;datacenter_person*;originating_institution*;originating_institution_person*;use_constraints*;access_constraints*;location*;iso_topic_category*;gcmd_science_keywords*;southern_latitude*;northern_latitude*;western_longitude*;eastern_longitude*;dataset_progress*;version;url_type*;url*
T2019001;Test data: Mesopelagic organisms measured with Messor;S2019703;2019;no;MEESO;KRONPRINSHAAKON_9566;MESSOR;yes;FM;Institute of Marine Research, Norwegian Marine Data Centre, Norway ;Arnfinn Morvik;Institute of Marine Research;Webjørn Melle;CC-BY 4.0;CC-BY 4.0;;;;;;;;;;;
T2020001;Test data: Herring measured from GoSars ship mounted echo sounders;S2020116;2020;no;CRIMAC;GOSARS_4174;Hull mounted;no;FM;Institute of Marine Research, Norwegian Marine Data Centre, Norway ;Arnfinn Morvik;Institute of Marine Research;Egil Ona;CC-BY 4.0;CC-BY 4.0;;;;;;;;;;;
T2020002;Test data: Herring measured with TS-probe from  G.O. Sars;S2020116;2020;no;CRIMAC;GOSARS_4174;TS_PROBE;yes;FM;Institute of Marine Research, Norwegian Marine Data Centre, Norway ;Arnfinn Morvik;Institute of Marine Research;Egil Ona;CC-BY 4.0;CC-BY 4.0;;;;;;;;;;;
T2020003;Test data: Sandeel measured wiht narrowbeam 200 kHz echo sounder from Eros;S2020821;2020;no;CRIMAC;EROS_3317;Hull mounted;maybe;FM;Institute of Marine Research, Norwegian Marine Data Centre, Norway ;Arnfinn Morvik;Institute of Marine Research;Tonje Nesse Forland;CC-BY 4.0;CC-BY 4.0;;;;;;;;;;;
T2020008;Test data: Krill measured wiht TS-probe from G.O. Sars;S2020116 ;2020;no;CRIMAC;GOSARS_4174;TS_PROBE;yes;FM;Institute of Marine Research, Norwegian Marine Data Centre, Norway ;Arnfinn Morvik;Institute of Marine Research;;CC-BY 4.0;CC-BY 4.0;;;;;;;;;;;
T2021001;Test data: 500 salmon in netpen in Matre with closed surface. Decreasing air in swimbladder. Measured with small CRIMAC echo sounder rig with 3 echo sounders, and two single 200 kHz echo sounders.;D2021003;2021;no;CRIMAC;MATRE;gimbal under net pen;yes;FM;Institute of Marine Research, Norwegian Marine Data Centre, Norway ;Arnfinn Morvik;Institute of Marine Research;Tonje Nesse Forland;CC-BY 4.0;CC-BY 4.0;;;;;;;;;;;
T2021002;Test data: Mesopelagic organisms measured with Messor;S2021105;2021;no;MEESO;GOSARS_4174;MESSOR;yes;FM;Institute of Marine Research, Norwegian Marine Data Centre, Norway ;Arnfinn Morvik;Institute of Marine Research;Webjørn Melle;CC-BY 4.0;CC-BY 4.0;;;;;;;;;;;
T2021003;Test data: Mackerel measured with ship mounted echo sounders on fishing vessel MS LIBAS during fisheries;S2021852;2021;no;CRIMAC;LIBAS_3303;Hull mounted;maybe;FM;Institute of Marine Research, Norwegian Marine Data Centre, Norway ;Arnfinn Morvik;Institute of Marine Research;Hector Pena;CC-BY 4.0;CC-BY 4.0;;;;;;;;;;;
T2021004;Test data: Bluefin tuna mesured with ship mounted echo sounders;S2021105;2021;no;Tuna;YTTERSTAD_9103;Hull mounted;yes;FM;Institute of Marine Research, Norwegian Marine Data Centre, Norway ;Arnfinn Morvik;Institute of Marine Research;Hector Pena;CC-BY 4.0;CC-BY 4.0;;;;;;;;;;;
T2021005;Test data: Haddock and whiting measured from ship mounted echo sounders on Kings Bay during sandeel survey;S2021847;2021;no;CRIMAC;KINGSBAY_3223;Hull mounted;yes;FM;Institute of Marine Research, Norwegian Marine Data Centre, Norway ;Arnfinn Morvik;Institute of Marine Research;Tonje Nesse Forland;CC-BY 4.0;CC-BY 4.0;;;;;;;;;;;
T2022001;Test data: Zooplankton North Sea Kristine Bonnevie;S2022611;2022;no;ZoopSeis;PKRISTINEBONNEVIE_1172;Hull mounted;yes;FM;Institute of Marine Research, Norwegian Marine Data Centre, Norway ;Arnfinn Morvik;Institute of Marine Research;;CC-BY 4.0;CC-BY 4.0;;;;;;;;;;;
T2023001;Test data: Data from hywind tampen. Earlier name D2023001;S2023001004;2023;no;windsys;GOSARS_4174;MESSOR;no;FM;Institute of Marine Research, Norwegian Marine Data Centre, Norway ;Arnfinn Morvik;Institute of Marine Research;Anne Christine Utne Palm;CC-BY 4.0;CC-BY 4.0;;;;;;;;;;;
T2023002;Test data: Original - unsplitted data wiht 4 pulsetypes - 50 salmon in netpen in Austevoll measured with CRIMAC echo sounder rig with 5 echo sounders for size estimation, average 880 g 415 cm;D2023004;2023;yes;CRIMAC;AUSTEVOLL;gimbal under net pen;yes;FM;Institute of Marine Research, Norwegian Marine Data Centre, Norway ;Arnfinn Morvik;Institute of Marine Research;Tonje Nesse Forland;CC-BY 4.0;CC-BY 4.0;;;;;;;;;;;
T2023003;Test data: FHF sizing project;D2023002;2023;no;FHF;LIBAS_3303;Pole mounted;yes;FM;Institute of Marine Research, Norwegian Marine Data Centre, Norway ;Arnfinn Morvik;Institute of Marine Research;Hector Pena;CC-BY 4.0;CC-BY 4.0;;;;;;;;;;;
T2023004;Test data: Capelin measured with ship mounted echo sounder;S2023002005;2023;no;skreitokt;JOHANHJORTH_1019;Hull mounted;yes;FM;Institute of Marine Research, Norwegian Marine Data Centre, Norway ;Arnfinn Morvik;Institute of Marine Research;Edvin Fuglebakk;CC-BY 4.0;CC-BY 4.0;;;;;;;;;;;
T2023005;Test data: Cod measured with ship mounted echo sounder;S2023002005;2023;no;skreitokt;JOHANHJORTH_1019;Hull mounted;yes;FM;Institute of Marine Research, Norwegian Marine Data Centre, Norway ;Arnfinn Morvik;Institute of Marine Research;Edvin Fuglebakk;CC-BY 4.0;CC-BY 4.0;;;;;;;;;;;
T2023006;Test data: Calibration sphere measured with all transducers on;S2023001016;2023;no;CRIMAC;GOSARS_4174;Hull mounted;yes;FM;Institute of Marine Research, Norwegian Marine Data Centre, Norway ;Arnfinn Morvik;Institute of Marine Research;Nils Olav Handegard;CC-BY 4.0;CC-BY 4.0;;;;;;;;;;;
