dataset,entry_title*,summary,survey,start_time,sequential_pinging,calibration note,species,project,platform,platformtype,possible_single_tracks,datacenter*,datacenter_person*,originating_institution*,originating_institution_person*,use_constraints*,access_constraints*,location*,iso_topic_category*,gcmd_science_keywords*,southern_latitude*,northern_latitude*,western_longitude*,eastern_longitude*,dataset_progress*,version,url_type*,url*,range_start,range_stop
T2019001,Test data: Mesopelagic organisms measured with a towed body deployed from RV Kronprins Haakon ,"Broad band backscatter from organisms in the mesopelagic zone (200-1000 m depth) measured with the towed vehicle MESSOR operating 38 kHz in CW and 70, 120, 200, and 333 in FM mode. ",S2019703,2019,no,FM calibration with 1 sphere,Mesopelagic,MEESO,KRONPRINSHAAKON_9566,MESSOR,yes,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Webjørn Melle,CC-BY 4.0,CC-BY 4.0,,oceans,Oceans > Ocean Acoustics > Acoustic Scattering,,,,,,1,,,,
T2020001,Test data: A layer of Atlantic herring (Clupea harengus) measured with keel-mounted echo sounders on RV G.O. Sars  ,"A layer of herring was measured with keel-mounted echo sounders from the research vessel G.O. Sars with 18 kHz in CW and 38, 70, 120, 200 and 333 kHz in FM.  Average length of the herring was 30 cm. ",S2020116,2020,no,Bad calibration with WC57.2 for all,Herring,CRIMAC,GOSARS_4174,Hull mounted,no,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Egil Ona,CC-BY 4.0,CC-BY 4.0,,oceans,Oceans > Ocean Acoustics > Acoustic Scattering,,,,,,1,,,,300
T2020002,Test data: Atlantic herring (Clupea harengus) measured with an acoustic probe deployed from RV G.O. Sars ,"Individual herring measured with a probe with 38 kHz in CW and 70, 120 and 200 kHz in FM mode, lowered to 100 m depth. Average length of the herring was 30 cm. ",S2020116,2020,no,"One sphere calibration, WC38",Herring,CRIMAC,GOSARS_4174,TS_PROBE,yes,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Egil Ona,CC-BY 4.0,CC-BY 4.0,,oceans,Oceans > Ocean Acoustics > Acoustic Scattering,,,,,,1,,,,
T2020003,Test data: Lesser sandeel (Ammodytes marinus) measured with narrow-beam 200 kHz transducer deployed from MS Eros ,"A school of sandeel measured with a narrowbeam 200 kHz transducer in FM mode lowered to 15 m depth from a rope suspended from a crane on the ship. Some noise from the ships instruments. " ,S2020821,2020,no,FM calibration with 1 sphere,Sandeel,CRIMAC,EROS_3317,Hull mounted,maybe,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Tonje Nesse Forland,CC-BY 4.0,CC-BY 4.0,,oceans,Oceans > Ocean Acoustics > Acoustic Scattering,,,,,,1,,,,20
T2020008,Test data: Northern krill (Meganyctiphanes norvegica) measured with a probe deployed from RV G.O. Sars ,"Individually resolved krill measured with a probe with 38 kHz in CW, and 70, 120 and 200 kHz in FM mode, at 50 m depth. ",S2020116 ,2020,no,"One sphere calibration, WC38",Krill,CRIMAC,GOSARS_4174,TS_PROBE,yes,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Tonje Nesse Forland,CC-BY 4.0,CC-BY 4.0,,oceans,Oceans > Ocean Acoustics > Acoustic Scattering,,,,,,1,,,,
T2021001,Test data: 500 Atlantic salmon (Salmo salar) in a net pen with restricted surface access measured with upwards facing echo sounders ,"Salmon in a netpen masured with 70, 120 and 200 kHz echo sounders placed under the net pen in FM mode, facing upwards. The salmon were deprived of surface access, decreasing amount of air in the swim bladder with time. ",D2021003,2021,yes,FM calibration with 1 sphere,Salmon,CRIMAC,MATRE,gimbal under net pen,yes,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Tonje Nesse Forland,CC-BY 4.0,CC-BY 4.0,,oceans,Oceans > Ocean Acoustics > Acoustic Scattering,,,,,,1,,,,25
T2021002,Test data: Mesopelagic organisms measured with a towed body deployed from RV G.O. Sars ,"Broad band backscatter from organisms in the mesopelagic zone (200-1000 m depth) measured with the towed vehicle MESSOR with 38 kHz in CW and 70, 120, 200, 333 in FM mode.  Individual scatterers can be resolved. ",S2021105,2021,no,FM calibration with 1 sphere,Mesopelagic,MEESO,GOSARS_4174,MESSOR,yes,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Webjørn Melle,CC-BY 4.0,CC-BY 4.0,,oceans,Oceans > Ocean Acoustics > Acoustic Scattering,,,,,,1,,,,
T2021003,Test data: Atlantic mackerel (Scomber scombrus) measured with keel-mounted echo sounders on MS Libas ,"Mackel was measured with keel-mounted echo sounders from the fishing vessel MS Libas during fisheries. 18 kHz in CW mode and 38, 70, 120, 200 and 333 kHz in FM mode. ",S2021852,2021,no,FM calibration with 3 spheres,Atlantic Mackerel,CRIMAC,LIBAS_3303,Hull mounted,yes,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Hector Pena,CC-BY 4.0,CC-BY 4.0,,oceans,Oceans > Ocean Acoustics > Acoustic Scattering,,,,,,1,,,,
T2021004,Test data: Bluefin tuna (Thunnus thynnus) measured with keel-mounted echo sounders on MS M. Ytterstad ,"Bluefin tuna measured with 18 and 38 kHz in CW, and 70, 120 and 200 kHz in FM mode. 70 and 120 kHz Spike noise from sonars included in the data . ",S2021105,2021,no,FM calibration with 1 sphere,Tuna,Tuna,YTTERSTAD_9103,Hull mounted,yes,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Hector Pena,CC-BY 4.0,CC-BY 4.0,,oceans,Oceans > Ocean Acoustics > Acoustic Scattering,,,,,,1,,,,
T2021005,Test data: Haddock (Melanogrammus aeglefinus) and whiting (Merlangius merlangus) measured with keel- mounted echo sounders on MS Kings Bay ,"Haddock and whiting measured with 18 and 38 kHz in CW and 70, 120 and 200 kHz in FM mode during research survey.  ",S2021847,2021,no,"FM calibration with 2 spheres for 200 kHz, one for the rest",Haddock and Whiting,CRIMAC,KINGSBAY_3223,Hull mounted,yes,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Tonje Nesse Forland,CC-BY 4.0,CC-BY 4.0,,oceans,Oceans > Ocean Acoustics > Acoustic Scattering,,,,,,1,,,,50
T2022001,Test data: Zooplankton measured with keel-mounted echo sounders on RV Kristine Bonnevie ,"Layers of different zooplankton were identified by multinet sampling showing layers dominated by copepods and echinoderm larvae, respectively. The echosounders were operated in CW and FM mode for the 18 kHz channel, and for the 38, 120, and 200 kHz channels, respectively. ",S2022611,2022,no,,Copepods,ZoopSeis,KRISTINEBONNEVIE_1172,Hull mounted,yes,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Geir Pedersen,CC-BY 4.0,CC-BY 4.0,,oceans,Oceans > Ocean Acoustics > Acoustic Scattering,,,,,,1,,,,70
T2023001,Test data: Pelagic fish and northern krill containing layers measured with keel-mounted echo sounders on RV G.O. Sars  ,"Layers of pelagic fish and krill measured with 18 and 38 kHz in CW mode and 70, 120, 200 and 333 kHz in FM mode measured during installation of Hywind Tampen wind farm in the North Sea ",S2023001004,2023,no,FM calibration with 2-3 spheres,Muellers pearlside mackerel herring krill blue whiting,windsys,GOSARS_4174,MESSOR,no,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Anne Christine Utne Palm,CC-BY 4.0,CC-BY 4.0,,oceans,Oceans > Ocean Acoustics > Acoustic Scattering,,,,,,1,,,,300
T2023002,Test data: Atlantic salmon (Salmo salar) in a net pen measured with upwards facing echo sounders ,"Salmon  measured with echo sounders at 25 m depth facing upwards inside a netpen. 38, 70, 120, 200 and 333 kHz were operated in FM mode. The average fork length of the salmon was 415 mm and average weight was 884 g. Four different pulse type settings were used sequentially. ",D2023004,2023,yes,Several FM settings - special calibration file,Salmon,CRIMAC,AUSTEVOLL,gimbal under net pen,yes,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Tonje Nesse Forland,CC-BY 4.0,CC-BY 4.0,,oceans,Oceans > Ocean Acoustics > Acoustic Scattering,,,,,,1,,,,
T2023003,Test data: FHF sizing project ,,D2023002,2023,no,FM calibration with 2 spheres,Mackerel,FHF,LIBAS_3303,Pole mounted,yes,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Hector Pena,CC-BY 4.0,CC-BY 4.0,,oceans,Oceans > Ocean Acoustics > Acoustic Scattering,,,,,,1,,,,
T2023004,Test data: Capelin (Mallotus villosus) measured with keel-mounted echo sounders on RV Johan Hjort ,"Capelin measured with keel mounted echo sounders with 18 and 38 kHz in FM mode, and 120, 200 and 333 kHz in CW mode.  ",S2023002005,2023,no,FM calibration with 2-3 spheres,Capelin,skreitokt,JOHANHJORTH_1019,Hull mounted,yes,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Edvin Fuglebakk,CC-BY 4.0,CC-BY 4.0,,oceans,Oceans > Ocean Acoustics > Acoustic Scattering,,,,,,1,,,,95
T2023005,Test data: Atlantic cod (Gadus morhua) measured with keel- mounted echo sounders on  RV Johan Hjort ,"Cod close to bottom measured with keel mounted echo sounders with 18 and 38 kHz in FM mode, and 120, 200 and 333 kHz in CW mode. This dataset demonstrates challenges with the blind zone for bottom fish. ",S2023002005,2023,no,FM calibration with 2-3 spheres,Cod,skreitokt,JOHANHJORTH_1019,Hull mounted,yes,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Edvin Fuglebakk,CC-BY 4.0,CC-BY 4.0,,oceans,Oceans > Ocean Acoustics > Acoustic Scattering,,,,,,1,,,,120
T2023006,Test data: Calibration sphere measured with keel-mounted echo sounders on RV G.O. Sars ,"Tungsten carbide sphere with 38.1 mm diameter (WC38.1) at 28 m depth was measured with keel mounted echo sounders from RV G.O. Sars. 18, 38,70,120, 200 and 333 kHz were using sequential pinging with every second ping in CW and FM mode, and all transducers transmitting simultaneously. ",S2023001016,2023,yes,"FM calibration with 1-2 spheres, 18 kHz FM failed",Calibration sphere,CRIMAC ,GOSARS_4174,Hull mounted,yes,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Rokas Kubilius,CC-BY 4.0,CC-BY 4.0,,oceans,Oceans > Ocean Acoustics > Acoustic Scattering,,,,,,1,,,,45
